stage,epoch,samples_per_class,train_loss,train_acc,val_loss,val_acc
1,1,100,2.278083610534668,0.143,2.210540969031198,0.3732142857142857
1,2,100,2.1293053035736085,0.338,1.980989990915571,0.49642857142857144
1,3,100,1.828480986595154,0.531,1.574886727333069,0.7482142857142857
1,4,100,1.3820820503234863,0.679,1.0600655385426112,0.8375
1,5,100,0.9573882393836975,0.756,0.7269903676850455,0.8392857142857143
1,6,100,0.6686448674201966,0.82,0.5153828007834298,0.8767857142857143
1,7,100,0.5131519892215729,0.859,0.40118724278041296,0.8964285714285715
1,8,100,0.4258625102043152,0.87,0.3501511241708483,0.9017857142857143
1,9,100,0.3626483840942383,0.894,0.30817811276231494,0.9089285714285714
1,10,100,0.31395972752571105,0.909,0.28220660303320205,0.9160714285714285
1,11,100,0.2751046361923218,0.92,0.24953593058245524,0.9196428571428571
1,12,100,0.26439076924324034,0.911,0.2717712555612837,0.91875
2,1,300,0.31643511446317035,0.907,0.22857959823948995,0.9366071428571429
2,2,300,0.26666529492537183,0.9216666666666666,0.21013215673821314,0.9330357142857143
2,3,300,0.2372770422299703,0.9276666666666666,0.17902208332504546,0.9455357142857143
2,4,300,0.20056052454312642,0.9373333333333334,0.17633243543761118,0.9410714285714286
2,5,300,0.1981405073006948,0.9366666666666666,0.19041752559798106,0.9428571428571428
2,6,300,0.17531110497315724,0.943,0.15169713156563894,0.95
2,7,300,0.15759072975317637,0.9553333333333334,0.16504836635930198,0.9473214285714285
2,8,300,0.15953346804777782,0.9496666666666667,0.15155614124877112,0.95
2,9,300,0.13610892391204835,0.956,0.15626466274261475,0.9446428571428571
3,1,600,0.16722164614995322,0.948,0.14100068999188287,0.9508928571428571
3,2,600,0.14545406470696132,0.9563333333333334,0.13121418889079775,0.9598214285714286
3,3,600,0.13182050969203313,0.958,0.11635136710745948,0.9633928571428572
3,4,600,0.1179033639828364,0.9616666666666667,0.1286208899957793,0.9553571428571429
3,5,600,0.10734278324246406,0.965,0.11168693634016173,0.9607142857142857
3,6,600,0.09848908489942551,0.9698333333333333,0.11784710415772029,0.9598214285714286
4,1,900,0.10138829392691454,0.9674444444444444,0.10506410843559674,0.9633928571428572
4,2,900,0.09163727907339732,0.9695555555555555,0.1047282728765692,0.9571428571428572
4,3,900,0.08533246101273431,0.9722222222222222,0.10096779071858951,0.9696428571428571
4,4,900,0.07541778279344241,0.9741111111111111,0.09577805516975267,0.9633928571428572
4,5,900,0.06990552078684172,0.9774444444444444,0.09821221722023828,0.96875
4,6,900,0.05958033091492123,0.9792222222222222,0.08225239371614797,0.9758928571428571
4,7,900,0.05620119881629944,0.9814444444444445,0.09214561443243707,0.9714285714285714
4,8,900,0.054680597417884405,0.9805555555555555,0.08145068452826568,0.9732142857142857
4,9,900,0.049168271582780615,0.9828888888888889,0.07804341561027936,0.9732142857142857
5,1,1000,0.04941742104589939,0.9837,0.07988096331911428,0.9767857142857143
5,2,1000,0.04827566674053669,0.9835,0.06346687762332814,0.98125
5,3,1000,0.04306997273899615,0.9855,0.07560778715248619,0.9794642857142857
5,4,1000,0.03851993043720722,0.9864,0.08235785785530295,0.9785714285714285
5,5,1000,0.04022311813049018,0.9846,0.0693141126206943,0.98125
